frame_id,img_name,natural_language_description
36,2022-07-14--14-32-55--10_0502,The traffic light is red. The road is clear.
37,2022-07-14--14-32-55--10_0503,The traffic light is red. The road is clear.
38,2022-07-14--14-32-55--10_0504,The traffic light is red. The road is clear.
39,2022-07-14--14-32-55--10_0505,The traffic light is red. The road is clear.
40,2022-07-14--14-32-55--10_0506,The traffic light is red. The road is clear.
41,2022-07-14--14-32-55--10_0507,The traffic light is red. The road is clear.
42,2022-07-14--14-32-55--10_0508,The traffic light is red. The road is clear.
43,2022-07-14--14-32-55--10_0509,The traffic light is red. The road is clear.
44,2022-07-14--14-32-55--10_0510,The traffic light is red. The road is clear.
45,2022-07-14--14-32-55--10_0511,The traffic light is red. The road is clear.
46,2022-07-14--14-32-55--10_0512,The traffic light is red. The road is clear.
47,2022-07-14--14-32-55--10_0513,The traffic light is red. The road is clear.
48,2022-07-14--14-32-55--10_0514,The traffic light is red. The road is clear.
49,2022-07-14--14-32-55--10_0515,The traffic light is red. The road is clear.
50,2022-07-14--14-32-55--10_0516,The traffic light is red. The road is clear.
51,2022-07-14--14-32-55--10_0517,The traffic light is red. The road is clear.
52,2022-07-14--14-32-55--10_0518,The traffic light is red. The road is clear.
53,2022-07-14--14-32-55--10_0519,The traffic light is red. The road is clear.
54,2022-07-14--14-32-55--10_0520,The traffic light is red. The road is clear.
55,2022-07-14--14-32-55--10_0521,The traffic light is red. The road is clear.
56,2022-07-14--14-32-55--10_0522,The traffic light is red. The road is clear.
57,2022-07-14--14-32-55--10_0523,The traffic light is red. The road is clear.
58,2022-07-14--14-32-55--10_0524,The traffic light is red. The road is clear.
59,2022-07-14--14-32-55--10_0525,The traffic light is red. The road is clear.
60,2022-07-14--14-32-55--10_0526,The traffic light is red. The road is clear.
61,2022-07-14--14-32-55--10_0527,The traffic light is red. The road is clear.
62,2022-07-14--14-32-55--10_0528,The traffic light is red. The road is clear.
63,2022-07-14--14-32-55--10_0529,The traffic light is red. The road is clear.
64,2022-07-14--14-32-55--10_0530,The traffic light is red. The road is clear.
65,2022-07-14--14-32-55--10_0531,The traffic light is red. The road is clear.
66,2022-07-14--14-32-55--10_0532,The traffic light is red. The road is clear.
67,2022-07-14--14-32-55--10_0533,The traffic light is red. The road is clear.
68,2022-07-14--14-32-55--10_0534,The traffic light is red. The road is clear.
69,2022-07-14--14-32-55--10_0535,The traffic light is red. The road is clear.
70,2022-07-14--14-32-55--10_0536,The traffic light is red. The road is clear.
71,2022-07-14--14-32-55--10_0537,The traffic light is red. The road is clear.
72,2022-07-14--14-32-55--10_0538,The traffic light is red. The road is clear.
73,2022-07-14--14-32-55--10_0539,The traffic light is red. The road is clear.
74,2022-07-14--14-32-55--10_0540,The traffic light is red. The road is clear.
75,2022-07-14--14-32-55--10_0541,The traffic light is red. The road is clear.
76,2022-07-14--14-32-55--10_0542,The traffic light is red. The road is clear.
77,2022-07-14--14-32-55--10_0543,The traffic light is red. The road is clear.
78,2022-07-14--14-32-55--10_0544,The traffic light is red. The road is clear.
79,2022-07-14--14-32-55--10_0545,The traffic light is red. The road is clear.
80,2022-07-14--14-32-55--10_0546,The traffic light is red. The road is clear.
81,2022-07-14--14-32-55--10_0547,The traffic light is red. The road is clear.
82,2022-07-14--14-32-55--10_0548,The traffic light is red. The road is clear.
83,2022-07-14--14-32-55--10_0549,The traffic light is red. The road is clear.
84,2022-07-14--14-32-55--10_0550,The traffic light is red. The road is clear.
85,2022-07-14--14-32-55--10_0551,The traffic light is red. The road is clear.
86,2022-07-14--14-32-55--10_0552,The traffic light is red. The road is clear.
87,2022-07-14--14-32-55--10_0553,The traffic light is red. The road is clear.
88,2022-07-14--14-32-55--10_0554,The traffic light is red. The road is clear.
89,2022-07-14--14-32-55--10_0555,The traffic light is red. The road is clear.
90,2022-07-14--14-32-55--10_0556,The traffic light is red. The road is clear.
91,2022-07-14--14-32-55--10_0557,The traffic light is red. The road is clear.
92,2022-07-14--14-32-55--10_0558,The traffic light is red. The road is clear.
93,2022-07-14--14-32-55--10_0559,The traffic light is red. The road is clear.
94,2022-07-14--14-32-55--10_0560,The traffic light is red. The road is clear.
95,2022-07-14--14-32-55--10_0561,The traffic light is red. The road is clear.
96,2022-07-14--14-32-55--10_0562,The traffic light is red. The road is clear.
97,2022-07-14--14-32-55--10_0563,The traffic light is red. The road is clear.
98,2022-07-14--14-32-55--10_0564,The traffic light is red. The road is clear.
99,2022-07-14--14-32-55--10_0565,The traffic light is red. The road is clear.
100,2022-07-14--14-32-55--10_0566,The traffic light is red. The road is clear.
101,2022-07-14--14-32-55--10_0567,The traffic light is red. The road is clear.
102,2022-07-14--14-32-55--10_0568,The traffic light is red. The road is clear.
103,2022-07-14--14-32-55--10_0569,The traffic light is red. The road is clear.
104,2022-07-14--14-32-55--10_0570,The traffic light is red. The road is clear.
105,2022-07-14--14-32-55--10_0571,The traffic light is red. The road is clear.
106,2022-07-14--14-32-55--10_0572,The traffic light is red. The road is clear.
107,2022-07-14--14-32-55--10_0573,The traffic light is red. The road is clear.
108,2022-07-14--14-32-55--10_0574,The traffic light is red. The road is clear.
109,2022-07-14--14-32-55--10_0575,The traffic light is red. The road is clear.
110,2022-07-14--14-32-55--10_0576,The traffic light is red. The road is clear.
111,2022-07-14--14-32-55--10_0577,The traffic light is red. The road is clear.
112,2022-07-14--14-32-55--10_0578,The traffic light is red. The road is clear.
113,2022-07-14--14-32-55--10_0579,The traffic light is red. The road is clear.
114,2022-07-14--14-32-55--10_0580,The traffic light is red. The road is clear.
115,2022-07-14--14-32-55--10_0581,The traffic light is red. The road is clear.
116,2022-07-14--14-32-55--10_0582,The traffic light is red. The road is clear.
117,2022-07-14--14-32-55--10_0583,The traffic light is red. The road is clear.
118,2022-07-14--14-32-55--10_0584,The traffic light is red. The road is clear.
119,2022-07-14--14-32-55--10_0585,The traffic light is red. The road is clear.
120,2022-07-14--14-32-55--10_0586,The traffic light is red. The road is clear.
121,2022-07-14--14-32-55--10_0587,The traffic light is red. The road is clear.
122,2022-07-14--14-32-55--10_0588,The traffic light is red. The road is clear.
123,2022-07-14--14-32-55--10_0589,The traffic light is red. The road is clear.
124,2022-07-14--14-32-55--10_0590,The traffic light is red. The road is clear.
125,2022-07-14--14-32-55--10_0591,The traffic light is red. The road is clear.
126,2022-07-14--14-32-55--10_0592,The traffic light is red. The road is clear.
127,2022-07-14--14-32-55--10_0593,The traffic light is red. The road is clear.
128,2022-07-14--14-32-55--10_0594,The traffic light is red. The road is clear.
129,2022-07-14--14-32-55--10_0595,The traffic light is red. The road is clear.
130,2022-07-14--14-32-55--10_0596,The traffic light is red. The road is clear.
131,2022-07-14--14-32-55--10_0597,The traffic light is red. The road is clear.
132,2022-07-14--14-32-55--10_0598,The traffic light is red. The road is clear.
133,2022-07-14--14-32-55--10_0599,The traffic light is red. The road is clear.
286,2022-07-21--15-11-45--44_0000,There is no traffic light. The road is clear.
287,2022-07-21--15-11-45--44_0001,There is no traffic light. The road is clear.
288,2022-07-21--15-11-45--44_0002,There is no traffic light. The road is clear.
289,2022-07-21--15-11-45--44_0003,There is no traffic light. The road is clear.
290,2022-07-21--15-11-45--44_0004,There is no traffic light. The road is clear.
291,2022-07-21--15-11-45--44_0005,There is no traffic light. The road is clear.
292,2022-07-21--15-11-45--44_0006,There is no traffic light. The road is clear.
293,2022-07-21--15-11-45--44_0007,There is no traffic light. The road is clear.
294,2022-07-21--15-11-45--44_0008,There is no traffic light. The road is clear.
295,2022-07-21--15-11-45--44_0009,There is no traffic light. The road is clear.
296,2022-07-21--15-11-45--44_0010,There is no traffic light. The road is clear.
297,2022-07-21--15-11-45--44_0011,There is no traffic light. The road is clear.
298,2022-07-21--15-11-45--44_0012,There is no traffic light. The road is clear.
299,2022-07-21--15-11-45--44_0013,There is no traffic light. The road is clear.
300,2022-07-21--15-11-45--44_0014,There is no traffic light. The road is clear.
301,2022-07-21--15-11-45--44_0015,There is no traffic light. The road is clear.
302,2022-07-21--15-11-45--44_0016,There is no traffic light. The road is clear.
303,2022-07-21--15-11-45--44_0017,There is no traffic light. The road is clear.
304,2022-07-21--15-11-45--44_0018,There is no traffic light. The road is clear.
305,2022-07-21--15-11-45--44_0019,There is no traffic light. The road is clear.
306,2022-07-21--15-11-45--44_0020,There is no traffic light. The road is clear.
307,2022-07-21--15-11-45--44_0021,There is no traffic light. The road is clear.
308,2022-07-21--15-11-45--44_0022,There is no traffic light. The road is clear.
309,2022-07-21--15-11-45--44_0023,There is no traffic light. The road is clear.
310,2022-07-21--15-11-45--44_0024,There is no traffic light. The road is clear.
311,2022-07-21--15-11-45--44_0025,There is no traffic light. The road is clear.
312,2022-07-21--15-11-45--44_0026,There is no traffic light. The road is clear.
313,2022-07-21--15-11-45--44_0027,There is no traffic light. The road is clear.
314,2022-07-21--15-11-45--44_0028,There is no traffic light. The road is clear.
315,2022-07-21--15-11-45--44_0029,There is no traffic light. The road is clear.
316,2022-07-21--15-11-45--44_0030,There is no traffic light. The road is clear.
317,2022-07-21--15-11-45--44_0031,There is no traffic light. The road is clear.
318,2022-07-21--15-11-45--44_0032,There is no traffic light. The road is clear.
319,2022-07-21--15-11-45--44_0033,There is no traffic light. The road is clear.
320,2022-07-21--15-11-45--44_0034,There is no traffic light. The road is clear.
321,2022-07-21--15-11-45--44_0035,There is no traffic light. The road is clear.
322,2022-07-21--15-11-45--44_0036,There is no traffic light. The road is clear.
323,2022-07-21--15-11-45--44_0037,There is no traffic light. The road is clear.
324,2022-07-21--15-11-45--44_0038,There is no traffic light. The road is clear.
325,2022-07-21--15-11-45--44_0039,There is no traffic light. The road is clear.
326,2022-07-21--15-11-45--44_0040,There is no traffic light. The road is clear.
327,2022-07-21--15-11-45--44_0041,There is no traffic light. The road is clear.
328,2022-07-21--15-11-45--44_0042,There is no traffic light. The road is clear.
329,2022-07-21--15-11-45--44_0043,There is no traffic light. The road is clear.
330,2022-07-21--15-11-45--44_0044,There is no traffic light. The road is clear.
331,2022-07-21--15-11-45--44_0045,There is no traffic light. The road is clear.
332,2022-07-21--15-11-45--44_0046,There is no traffic light. The road is clear.
333,2022-07-21--15-11-45--44_0047,There is no traffic light. The road is clear.
334,2022-07-21--15-11-45--44_0048,There is no traffic light. The road is clear.
335,2022-07-21--15-11-45--44_0049,There is no traffic light. The road is clear.
336,2022-07-21--15-11-45--44_0050,There is no traffic light. The road is clear.
337,2022-07-21--15-11-45--44_0051,There is no traffic light. The road is clear.
338,2022-07-21--15-11-45--44_0052,There is no traffic light. The road is clear.
339,2022-07-21--15-11-45--44_0053,There is no traffic light. The road is clear.
340,2022-07-21--15-11-45--44_0054,There is no traffic light. The road is clear.
341,2022-07-21--15-11-45--44_0055,There is no traffic light. The road is clear.
342,2022-07-21--15-11-45--44_0056,There is no traffic light. The road is clear.
343,2022-07-21--15-11-45--44_0057,There is no traffic light. The road is clear.
344,2022-07-21--15-11-45--44_0058,There is no traffic light. The road is clear.
345,2022-07-21--15-11-45--44_0059,There is no traffic light. The road is clear.
346,2022-07-21--15-11-45--44_0060,There is no traffic light. The road is clear.
347,2022-07-21--15-11-45--44_0061,There is no traffic light. The road is clear.
348,2022-07-21--15-11-45--44_0062,There is no traffic light. The road is clear.
349,2022-07-21--15-11-45--44_0063,There is no traffic light. The road is clear.
350,2022-07-21--15-11-45--44_0064,There is no traffic light. The road is clear.
351,2022-07-21--15-11-45--44_0065,There is no traffic light. The road is clear.
352,2022-07-21--15-11-45--44_0066,There is no traffic light. The road is clear.
353,2022-07-21--15-11-45--44_0067,There is no traffic light. The road is clear.
354,2022-07-21--15-11-45--44_0068,There is no traffic light. The road is clear.
355,2022-07-21--15-11-45--44_0069,There is no traffic light. The road is clear.
356,2022-07-21--15-11-45--44_0070,There is no traffic light. The road is clear.
357,2022-07-21--15-11-45--44_0071,There is no traffic light. The road is clear.
358,2022-07-21--15-11-45--44_0072,There is no traffic light. The road is clear.
359,2022-07-21--15-11-45--44_0073,There is no traffic light. The road is clear.
360,2022-07-21--15-11-45--44_0074,There is no traffic light. The road is clear.
361,2022-07-21--15-11-45--44_0075,There is no traffic light. The road is clear.
362,2022-07-21--15-11-45--44_0076,There is no traffic light. The road is clear.
363,2022-07-21--15-11-45--44_0077,There is no traffic light. The road is clear.
364,2022-07-21--15-11-45--44_0078,There is no traffic light. The road is clear.
365,2022-07-21--15-11-45--44_0079,There is no traffic light. The road is clear.
366,2022-07-21--15-11-45--44_0080,There is no traffic light. The road is clear.
367,2022-07-21--15-11-45--44_0081,There is no traffic light. The road is clear.
368,2022-07-21--15-11-45--44_0082,There is no traffic light. The road is clear.
369,2022-07-21--15-11-45--44_0083,There is no traffic light. The road is clear.
370,2022-07-21--15-11-45--44_0084,There is no traffic light. The road is clear.
371,2022-07-21--15-11-45--44_0085,There is no traffic light. The road is clear.
372,2022-07-21--15-11-45--44_0086,There is no traffic light. The road is clear.
373,2022-07-21--15-11-45--44_0087,There is no traffic light. The road is clear.
374,2022-07-21--15-11-45--44_0088,There is no traffic light. The road is clear.
375,2022-07-21--15-11-45--44_0089,There is no traffic light. The road is clear.
376,2022-07-21--15-11-45--44_0090,There is no traffic light. The road is clear.
377,2022-07-21--15-11-45--44_0091,There is no traffic light. The road is clear.
378,2022-07-21--15-11-45--44_0092,There is no traffic light. The road is clear.
379,2022-07-21--15-11-45--44_0093,There is no traffic light. The road is clear.
380,2022-07-21--15-11-45--44_0094,There is no traffic light. The road is clear.
381,2022-07-21--15-11-45--44_0095,There is no traffic light. The road is clear.
382,2022-07-21--15-11-45--44_0096,There is no traffic light. The road is clear.
383,2022-07-21--15-11-45--44_0097,There is no traffic light. The road is clear.
384,2022-07-21--15-11-45--44_0098,There is no traffic light. The road is clear.
385,2022-07-21--15-11-45--44_0099,There is no traffic light. The road is clear.
386,2022-07-21--15-11-45--44_0100,There is no traffic light. The road is clear.
387,2022-07-25--13-35-05--31_0000,The traffic light is yellow. The road is clear.
388,2022-07-25--13-35-05--31_0001,The traffic light is yellow. The road is clear.
389,2022-07-25--13-35-05--31_0002,The traffic light is yellow. The road is clear.
390,2022-07-25--13-35-05--31_0003,The traffic light is yellow. The road is clear.
391,2022-07-25--13-35-05--31_0004,The traffic light is yellow. The road is clear.
392,2022-07-25--13-35-05--31_0005,The traffic light is yellow. The road is clear.
393,2022-07-25--13-35-05--31_0006,The traffic light is yellow. The road is clear.
394,2022-07-25--13-35-05--31_0007,The traffic light is yellow. The road is clear.
395,2022-07-25--13-35-05--31_0008,The traffic light is yellow. The road is clear.
396,2022-07-25--13-35-05--31_0009,The traffic light is yellow. The road is clear.
397,2022-07-25--13-35-05--31_0010,The traffic light is yellow. The road is clear.
398,2022-07-25--13-35-05--31_0011,The traffic light is yellow. The road is clear.
399,2022-07-25--13-35-05--31_0012,The traffic light is yellow. The road is clear.
400,2022-07-25--13-35-05--31_0013,The traffic light is yellow. The road is clear.
401,2022-07-25--13-35-05--31_0014,The traffic light is yellow. The road is clear.
402,2022-07-25--13-35-05--31_0015,The traffic light is yellow. The road is clear.
403,2022-07-25--13-35-05--31_0016,The traffic light is yellow. The road is clear.
404,2022-07-25--13-35-05--31_0017,The traffic light is yellow. The road is clear.
405,2022-07-25--13-35-05--31_0018,The traffic light is yellow. The road is clear.
406,2022-07-25--13-35-05--31_0019,The traffic light is yellow. The road is clear.
407,2022-07-25--13-35-05--31_0020,The traffic light is yellow. The road is clear.
408,2022-07-25--13-35-05--31_0021,The traffic light is yellow. The road is clear.
409,2022-07-25--13-35-05--31_0022,The traffic light is yellow. The road is clear.
410,2022-07-25--13-35-05--31_0023,The traffic light is red. The road is clear.
411,2022-07-25--13-35-05--31_0024,The traffic light is red. The road is clear.
412,2022-07-25--13-35-05--31_0025,The traffic light is red. The road is clear.
413,2022-07-25--13-35-05--31_0026,The traffic light is red. The road is clear.
414,2022-07-25--13-35-05--31_0027,The traffic light is red. The road is clear.
415,2022-07-25--13-35-05--31_0028,The traffic light is red. The road is clear.
416,2022-07-25--13-35-05--31_0029,The traffic light is red. The road is clear.
417,2022-07-25--13-35-05--31_0030,The traffic light is red. The road is clear.
418,2022-07-25--13-35-05--31_0031,The traffic light is red. The road is clear.
419,2022-07-25--13-35-05--31_0032,The traffic light is red. The road is clear.
420,2022-07-25--13-35-05--31_0033,The traffic light is red. The road is clear.
421,2022-07-25--13-35-05--31_0034,The traffic light is red. The road is clear.
422,2022-07-25--13-35-05--31_0035,The traffic light is red. The road is clear.
423,2022-07-25--13-35-05--31_0036,The traffic light is red. The road is clear.
424,2022-07-25--13-35-05--31_0037,The traffic light is red. The road is clear.
425,2022-07-25--13-35-05--31_0038,The traffic light is red. The road is clear.
426,2022-07-25--13-35-05--31_0039,The traffic light is red. The road is clear.
427,2022-07-25--13-35-05--31_0040,The traffic light is red. The road is clear.
428,2022-07-25--13-35-05--31_0041,The traffic light is red. The road is clear.
429,2022-07-25--13-35-05--31_0042,The traffic light is red. The road is clear.
430,2022-07-25--13-35-05--31_0043,The traffic light is red. The road is clear.
431,2022-07-25--13-35-05--31_0044,The traffic light is red. The road is clear.
432,2022-07-25--13-35-05--31_0045,The traffic light is red. The road is clear.
433,2022-07-25--13-35-05--31_0046,The traffic light is red. The road is clear.
434,2022-08-09--13-20-00--84_0000,The traffic light is green. The road is clear.
435,2022-08-09--13-20-00--84_0001,The traffic light is green. The road is clear.
436,2022-08-09--13-20-00--84_0002,The traffic light is green. The road is clear.
437,2022-08-09--13-20-00--84_0003,The traffic light is green. The road is clear.
438,2022-08-09--13-20-00--84_0004,There is no traffic light. The road is clear.
439,2022-08-09--13-20-00--84_0005,There is no traffic light. The road is clear.
440,2022-08-09--13-20-00--84_0006,There is no traffic light. The road is clear.
441,2022-08-09--13-20-00--84_0007,There is no traffic light. The road is clear.
442,2022-08-09--13-20-00--84_0008,There is no traffic light. The road is clear.
443,2022-08-09--13-20-00--84_0009,There is no traffic light. The road is clear.
444,2022-08-09--13-20-00--84_0010,There is no traffic light. The road is clear.
445,2022-08-09--13-20-00--84_0011,There is no traffic light. The road is clear.
446,2022-08-09--13-20-00--84_0012,There is no traffic light. The road is clear.
447,2022-08-09--13-20-00--84_0013,There is no traffic light. The road is clear.
448,2022-08-09--13-20-00--84_0014,There is no traffic light. The road is clear.
449,2022-08-09--13-20-00--84_0015,There is no traffic light. The road is clear.
450,2022-08-09--13-20-00--84_0016,There is no traffic light. The road is clear.
451,2022-08-09--13-20-00--84_0017,There is no traffic light. The road is clear.
452,2022-08-09--13-20-00--84_0018,There is no traffic light. The road is clear.
453,2022-08-09--13-20-00--84_0019,There is no traffic light. The road is clear.
454,2022-08-09--13-20-00--84_0020,There is no traffic light. The road is clear.
455,2022-08-09--13-20-00--84_0021,There is no traffic light. The road is clear.
456,2022-08-09--13-20-00--84_0022,There is no traffic light. The road is clear.
457,2022-08-09--13-20-00--84_0023,There is no traffic light. The road is clear.
458,2022-08-09--13-20-00--84_0024,There is no traffic light. The road is clear.
459,2022-08-09--13-20-00--84_0025,There is no traffic light. The road is clear.
460,2022-08-09--13-20-00--84_0026,There is no traffic light. The road is clear.
461,2022-08-09--13-20-00--84_0027,There is no traffic light. The road is clear.
462,2022-08-09--13-20-00--84_0028,There is no traffic light. The road is clear.
463,2022-08-09--13-20-00--84_0029,There is no traffic light. The road is clear.
464,2022-08-09--13-20-00--84_0030,There is no traffic light. The road is clear.
465,2022-08-09--13-20-00--84_0031,There is no traffic light. The road is clear.
466,2022-08-09--13-20-00--84_0032,There is no traffic light. The road is clear.
467,2022-08-09--13-20-00--84_0033,There is no traffic light. The road is clear.
468,2022-08-09--13-20-00--84_0034,There is no traffic light. The road is clear.
469,2022-08-09--13-20-00--84_0035,There is no traffic light. The road is clear.
470,2022-08-09--13-20-00--84_0036,There is no traffic light. The road is clear.
471,2022-08-09--13-20-00--84_0037,There is no traffic light. The road is clear.
472,2022-08-09--13-20-00--84_0038,There is no traffic light. The road is clear.
473,2022-08-09--13-20-00--84_0039,There is no traffic light. The road is clear.
474,2022-08-09--13-20-00--84_0040,There is no traffic light. The road is clear.
475,2022-08-09--13-20-00--84_0041,There is no traffic light. The road is clear.
476,2022-08-09--13-20-00--84_0042,There is no traffic light. The road is clear.
477,2022-08-09--13-20-00--84_0043,There is no traffic light. The road is clear.
478,2022-08-09--13-20-00--84_0044,There is no traffic light. The road is clear.
479,2022-08-09--13-20-00--84_0045,There is no traffic light. The road is clear.
480,2022-08-09--13-20-00--84_0046,There is no traffic light. The road is clear.
481,2022-08-09--13-20-00--84_0047,There is no traffic light. The road is clear.
482,2022-08-09--13-20-00--84_0048,There is no traffic light. The road is clear.
483,2022-08-09--13-20-00--84_0049,There is no traffic light. The road is clear.
484,2022-08-09--13-20-00--84_0050,There is no traffic light. The road is clear.
485,2022-08-09--13-20-00--84_0051,There is no traffic light. The road is clear.
486,2022-08-09--13-20-00--84_0052,There is no traffic light. The road is clear.
487,2022-08-09--13-20-00--84_0053,There is no traffic light. The road is clear.
488,2022-08-09--13-20-00--84_0054,There is no traffic light. The road is clear.
489,2022-08-09--13-20-00--84_0055,There is no traffic light. The road is clear.
490,2022-08-09--13-20-00--84_0056,There is no traffic light. The road is clear.
491,2022-08-09--13-20-00--84_0057,There is no traffic light. The road is clear.
492,2022-08-09--13-20-00--84_0058,There is no traffic light. The road is clear.
493,2022-08-09--13-20-00--84_0059,There is no traffic light. The road is clear.
494,2022-08-09--13-20-00--84_0060,There is no traffic light. The road is clear.
495,2022-08-09--13-20-00--84_0061,There is no traffic light. The road is clear.
496,2022-08-09--13-20-00--84_0062,There is no traffic light. The road is clear.
497,2022-08-09--13-20-00--84_0063,There is no traffic light. The road is clear.
498,2022-08-09--13-20-00--84_0064,There is no traffic light. The road is clear.
499,2022-08-09--13-20-00--84_0065,There is no traffic light. The road is clear.
500,2022-08-09--13-20-00--84_0066,There is no traffic light. The road is clear.
501,2022-08-09--13-20-00--84_0067,There is no traffic light. The road is clear.
502,2022-08-09--13-20-00--84_0068,There is no traffic light. The road is clear.
503,2022-08-09--13-20-00--84_0069,There is no traffic light. The road is clear.
504,2022-08-09--13-20-00--84_0070,There is no traffic light. The road is clear.
505,2022-08-09--13-20-00--84_0071,There is no traffic light. The road is clear.
506,2022-08-09--13-20-00--84_0072,There is no traffic light. The road is clear.
507,2022-08-09--13-20-00--84_0073,There is no traffic light. The road is clear.
508,2022-08-09--13-20-00--84_0074,There is no traffic light. The road is clear.
509,2022-08-09--13-20-00--84_0075,There is no traffic light. The road is clear.
510,2022-08-09--13-20-00--84_0076,There is no traffic light. The road is clear.
511,2022-08-09--13-20-00--84_0077,There is no traffic light. The road is clear.
512,2022-08-09--13-20-00--84_0078,There is no traffic light. The road is clear.
513,2022-08-09--13-20-00--84_0079,There is no traffic light. The road is clear.
514,2022-08-09--13-20-00--84_0080,There is no traffic light. The road is clear.
515,2022-08-09--13-20-00--84_0081,There is no traffic light. The road is clear.
516,2022-08-09--13-20-00--84_0082,There is no traffic light. The road is clear.
517,2022-08-09--13-20-00--84_0083,There is no traffic light. The road is clear.
518,2022-08-09--13-20-00--84_0084,There is no traffic light. The road is clear.
519,2022-08-09--13-20-00--84_0085,There is no traffic light. The road is clear.
520,2022-08-09--13-20-00--84_0086,There is no traffic light. The road is clear.
521,2022-08-09--13-20-00--84_0087,There is no traffic light. The road is clear.
522,2022-08-09--13-20-00--84_0088,There is no traffic light. The road is clear.
523,2022-08-09--13-20-00--84_0089,There is no traffic light. The road is clear.
524,2022-08-09--13-20-00--84_0090,There is no traffic light. The road is clear.
525,2022-08-09--13-20-00--84_0091,There is no traffic light. The road is clear.
526,2022-08-09--13-20-00--84_0092,There is no traffic light. The road is clear.
527,2022-08-09--13-20-00--84_0093,There is no traffic light. The road is clear.
528,2022-08-09--13-20-00--84_0094,There is no traffic light. The road is clear.
529,2022-08-09--13-20-00--84_0095,There is no traffic light. The road is clear.
530,2022-08-09--13-20-00--84_0096,There is no traffic light. The road is clear.
531,2022-08-09--13-20-00--84_0097,There is no traffic light. The road is clear.
532,2022-08-09--13-20-00--84_0098,There is no traffic light. The road is clear.
533,2022-08-09--13-20-00--84_0099,There is no traffic light. The road is clear.
534,2022-08-09--13-20-00--84_0100,There is no traffic light. The road is clear.
837,2022-12-20--14-57-51--47_0500,The traffic light is red. The road is clear.
838,2022-12-20--14-57-51--47_0501,The traffic light is red. The road is clear.
839,2022-12-20--14-57-51--47_0502,The traffic light is red. The road is clear.
840,2022-12-20--14-57-51--47_0503,The traffic light is red. The road is clear.
841,2022-12-20--14-57-51--47_0504,The traffic light is red. The road is clear.
842,2022-12-20--14-57-51--47_0505,The traffic light is red. The road is clear.
843,2022-12-20--14-57-51--47_0506,The traffic light is red. The road is clear.
844,2022-12-20--14-57-51--47_0507,The traffic light is red. The road is clear.
845,2022-12-20--14-57-51--47_0508,The traffic light is red. The road is clear.
846,2022-12-20--14-57-51--47_0509,The traffic light is red. The road is clear.
847,2022-12-20--14-57-51--47_0510,The traffic light is red. The road is clear.
848,2022-12-20--14-57-51--47_0511,The traffic light is red. The road is clear.
849,2022-12-20--14-57-51--47_0512,The traffic light is red. The road is clear.
850,2022-12-20--14-57-51--47_0513,The traffic light is red. The road is clear.
